Number,volume,mass,Firmness,TST,TA,Zs,θ,L1,A1,B1,L2,A2,B2
1,125.057210607236,155.48,1.2225,9.9,0.8509,0.8045,-40.19,2761,1474,1116,4306,1574,2500
2,125.344605608614,159.66,0.425,10.8,0.8107,0.7156,-34.704,2450,1154,749,5541,1313,3305
3,119.723892388907,149.45,0.5175,11.1,0.7705,0.9087,-37.24,2646,1215,985,4850,1529,3362
4,131.544573807557,155.17,1.4775,9.5,0.85894,1.2193,-44.06,2669,811,602,6215,486,4341
5,130.360056356053,152.13,0.57,9.8,0.88038,0.9166,-38.313,3086,1397,1315,6229,884,4272
6,124.815534769933,151.64,1.3775,10.2,0.8978,0.937,-41.88,2408,732,471,5350,934,3960
7,118.976688533361,160.67,0.625,10.4,0.8442,0.9898,-37.106,2895,1103,872,5043,1342,3334
8,129.059149867423,159.12,1.27,9.7,0.91924,1.5043,-44.13,2656,1038,496,6502,345,4281
9,121.523999869937,148.97,3.435,10.2,0.84554,1.3553,-45.8,2149,597,294,5175,1045,4473
10,114.245308740501,151.08,0.505,10.5,0.804,1.0038,-36.48,2315,813,360,5759,523,4319
11,134.172555715644,155.84,0.8625,9.7,0.80802,0.9152,-35.201,2342,739,264,5034,1387,3421
12,125.178165424948,156.01,1.025,11.3,0.7035,1.3048,-34.358,2011,558,308,6144,982,4749
13,125.647601986084,153.19,0.5725,12.8,0.83884,1.0841,-33.53,2157,643,447,3240,1904,2046
14,129.074585718366,149.32,0.7875,12.7,0.82678,1.1481,-33.972,2431,1031,659,5207,1903,3601
15,126.544285396667,149.34,1.2625,11.1,0.78792,1.4502,-43.52,2389,760,444,6262,817,4249
16,125.768937126287,155.15,4.045,10.5,0.76246,1.3863,-43.43,2074,439,352,5085,1531,3798
17,123.972121582031,153.85,1.61,11.6,1.09344,1.2772,-39.076,1983,352,217,6715,617,4905
18,126.392005887865,153.13,3.05,11.3,0.6633,1.4273,-43.68,2157,827,333,4312,1880,3312
19,120.13544903373,159.22,3.15,12.7,0.73968,1.3576,-43.79,2298,514,404,5508,1637,3877
20,124.152532111474,151.24,0.9575,12.4,0.91656,1.2763,-38.652,2098,730,276,4738,2010,3726
